instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Month,Weekday_Name,Season_Name,Weather_Condition,is_weekend,Day_Type
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,January,Wednesday,Spring,Clear or Partly Cloudy,0,Weekday
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,January,Thursday,Spring,Mist or Cloudy,0,Weekday
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,January,Thursday,Spring,Mist or Cloudy,0,Weekday
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,January,Thursday,Spring,Mist or Cloudy,0,Weekday
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,January,Thursday,Spring,Mist or Cloudy,0,Weekday
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,January,Thursday,Spring,Mist or Cloudy,0,Weekday
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,January,Thursday,Spring,Clear or Partly Cloudy,0,Weekday
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,January,Thursday,Spring,Mist or Cloudy,0,Weekday
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,January,Thursday,Spring,Mist or Cloudy,0,Weekday
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,January,Thursday,Spring,Mist or Cloudy,0,Weekday
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,January,Friday,Spring,Mist or Cloudy,0,Weekday
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,January,Friday,Spring,Mist or Cloudy,0,Weekday
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,January,Friday,Spring,Mist or Cloudy,0,Weekday
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,January,Friday,Spring,Mist or Cloudy,0,Weekday
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,January,Friday,Spring,Light Snow or Light Rain,0,Weekday
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,January,Friday,Spring,Mist or Cloudy,0,Weekday
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,January,Friday,Spring,Clear or Partly Cloudy,0,Weekday
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,January,Friday,Spring,Clear or Partly Cloudy,0,Weekday
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,January,Friday,Spring,Clear or Partly Cloudy,0,Weekday
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,January,Friday,Spring,Clear or Partly Cloudy,0,Weekday
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,January,Friday,Spring,Mist or Cloudy,0,Weekday
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,January,Friday,Spring,Mist or Cloudy,0,Weekday
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,January,Friday,Spring,Mist or Cloudy,0,Weekday
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,January,Friday,Spring,Mist or Cloudy,0,Weekday
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,January,Friday,Spring,Mist or Cloudy,0,Weekday
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,January,Friday,Spring,Mist or Cloudy,0,Weekday
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,January,Friday,Spring,Mist or Cloudy,0,Weekday
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,January,Friday,Spring,Clear or Partly Cloudy,0,Weekday
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,January,Friday,Spring,Clear or Partly Cloudy,0,Weekday
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,January,Friday,Spring,Clear or Partly Cloudy,0,Weekday
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,January,Friday,Spring,Clear or Partly Cloudy,0,Weekday
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,January,Friday,Spring,Mist or Cloudy,0,Weekday
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,January,Friday,Spring,Mist or Cloudy,0,Weekday
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,January,Saturday,Spring,Mist or Cloudy,1,Weekend
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,January,Saturday,Spring,Mist or Cloudy,1,Weekend
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,January,Saturday,Spring,Mist or Cloudy,1,Weekend
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,January,Saturday,Spring,Light Snow or Light Rain,1,Weekend
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,January,Saturday,Spring,Light Snow or Light Rain,1,Weekend
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,January,Saturday,Spring,Mist or Cloudy,1,Weekend
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,January,Saturday,Spring,Mist or Cloudy,1,Weekend
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,January,Saturday,Spring,Mist or Cloudy,1,Weekend
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,January,Saturday,Spring,Light Snow or Light Rain,1,Weekend
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,January,Saturday,Spring,Light Snow or Light Rain,1,Weekend
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,January,Saturday,Spring,Mist or Cloudy,1,Weekend
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,January,Saturday,Spring,Mist or Cloudy,1,Weekend
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,January,Saturday,Spring,Mist or Cloudy,1,Weekend
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
